US SSN,gender,birthdate,maiden name,last name,first name,address,city,state,zip,phone
220-76-7515,,,,,,,,,,
244-05-1268,,,,,,,,,,
553-53-6370,,,,,,,,,,
863-17-9679,,,,,,,,,,
906-27-3216,,,,,,,,,,
526-78-8784,,,,,,,,,,
911-82-5670,,,,,,,,,,
357214808,,,,,,,,,,
538042815,,,,,,,,,,
769 51 8177,,,,,,,,,,
267108870,,,,,,,,,,
846-71-0053,,,,,,,,,,
557 67 1547,,,,,,,,,,
560-73-1667,,,,,,,,,,
841 06 8793,,,,,,,,,,
908-88-5498,,,,,,,,,,
006-94-3426,,,,,,,,,,
609-82-3292,,,,,,,,,,
328378593,,,,,,,,,,
525 11 9100,,,,,,,,,,
852752418,,,,,,,,,,
734 26 9611,,,,,,,,,,
517-49-4574,,,,,,,,,,
83654832,,,,,,,,,,
600-83-0643,,,,,,,,,,
761-12-0238,,,,,,,,,,
603-20-0408,,,,,,,,,,
322 27 1988,,,,,,,,,,
395896483,,,,,,,,,,
80853502,,,,,,,,,,
072 36 3049,,,,,,,,,,
438-84-2852,,,,,,,,,,
751-67-9417,,,,,,,,,,
552-90-3600,,,,,,,,,,
204-60-8143,,,,,,,,,,
687 55 6557,,,,,,,,,,
879-02-8012,,,,,,,,,,
829 53 7947,,,,,,,,,,
394-71-6147,,,,,,,,,,
193-95-8411,,,,,,,,,,
464 21 3161,,,,,,,,,,
960-38-7872,,,,,,,,,,
671-51-9797,,,,,,,,,,
843 92 5773,,,,,,,,,,
607282881,,,,,,,,,,
11069610,,,,,,,,,,
710277483,,,,,,,,,,
945 06 4564,,,,,,,,,,
954 72 0205,,,,,,,,,,
609-37-4979,,,,,,,,,,
118-03-8417,,,,,,,,,,
171 79 3018,,,,,,,,,,
662535636,,,,,,,,,,
030-36-8560,,,,,,,,,,
761 63 6386,,,,,,,,,,
356 52 8654,,,,,,,,,,
574-60-6196,,,,,,,,,,
638214375,,,,,,,,,,
418621716,,,,,,,,,,
731-25-8093,,,,,,,,,,
622 10 1220,,,,,,,,,,
748-47-6736,,,,,,,,,,
141-75-4454,,,,,,,,,,
822-45-1142,,,,,,,,,,
948-17-5684,,,,,,,,,,
567-76-5295,,,,,,,,,,
142-27-4745,,,,,,,,,,
133456290,,,,,,,,,,
417822186,,,,,,,,,,
319-33-2019,,,,,,,,,,
347-90-5677,,,,,,,,,,
910-64-6605,,,,,,,,,,
604-20-2721,,,,,,,,,,
950-90-9958,,,,,,,,,,
684-89-6832,,,,,,,,,,
342 86 2336,,,,,,,,,,
710-95-0062,,,,,,,,,,
168516708,,,,,,,,,,
363-78-4900,,,,,,,,,,
224-02-1630,,,,,,,,,,
462-26-3900,,,,,,,,,,
422 58 2333,,,,,,,,,,
421997210,,,,,,,,,,
210061576,,,,,,,,,,
763-02-2029,,,,,,,,,,
055 10 3288,,,,,,,,,,
432-10-3167,,,,,,,,,,
784 49 7137,,,,,,,,,,
070-97-7566,,,,,,,,,,
067-53-0438,,,,,,,,,,
761-13-3975,,,,,,,,,,
431-64-7786,,,,,,,,,,
785-11-6579,,,,,,,,,,
400-13-1541,,,,,,,,,,
559-54-0931,,,,,,,,,,
238 09 8948,,,,,,,,,,
72080716,,,,,,,,,,
148-13-2694,,,,,,,,,,
498-67-4358,,,,,,,,,,
054-49-3703,,,,,,,,,,
404-23-1572,,,,,,,,,,
794 90 9007,,,,,,,,,,
915684828,,,,,,,,,,
627701119,,,,,,,,,,
832 35 7853,,,,,,,,,,
462-62-3594,,,,,,,,,,
054 04 8913,,,,,,,,,,
708395096,,,,,,,,,,
475 18 2320,,,,,,,,,,
418832860,,,,,,,,,,
327-07-2154,,,,,,,,,,
032-27-2481,,,,,,,,,,
933073173,,,,,,,,,,
045-92-4063,,,,,,,,,,
558 51 2014,,,,,,,,,,
500-56-0085,,,,,,,,,,
117-31-6218,,,,,,,,,,
066 18 2759,,,,,,,,,,
228-16-0604,,,,,,,,,,
592-09-5401,,,,,,,,,,
596 91 1501,,,,,,,,,,
039-28-9698,,,,,,,,,,
583-51-4718,,,,,,,,,,
100-98-7828,,,,,,,,,,
976-45-3085,,,,,,,,,,
553-81-9123,,,,,,,,,,
995-54-5053,,,,,,,,,,
054 54 7670,,,,,,,,,,
167810273,,,,,,,,,,
007 14 2789,,,,,,,,,,
878709679,,,,,,,,,,
307 43 9063,,,,,,,,,,
670-68-4545,,,,,,,,,,
689-10-4833,,,,,,,,,,
724-44-4280,,,,,,,,,,
442 09 7319,,,,,,,,,,
041-83-5231,,,,,,,,,,
166-64-1904,,,,,,,,,,
102 95 4445,,,,,,,,,,
802-58-6517,,,,,,,,,,
571185293,,,,,,,,,,
221-79-2294,,,,,,,,,,
019-90-4546,,,,,,,,,,
066-36-5454,,,,,,,,,,
732-77-4076,,,,,,,,,,
908-97-8508,,,,,,,,,,
409594900,,,,,,,,,,
